machine_id,timestamp,operating_hours,load_pct,days_since_maintenance,maintenance_count,temperature_C,pressure_bar,vibration_mms,rotation_speed_rpm,voltage_V,current_A,oil_temp_C,power_output_MW,efficiency_pct
GEN_0011,2020-01-01 17:00:00,3304.7,96.96,104.7,1,520.82,170.32,2.068,3017.2,10656.4,514.64,70.1,174.15,83.49
GEN_0001,2020-01-01 18:00:00,1996.0,62.67,347.0,0,513.66,160.9,2.149,3127.4,11008.3,453.22,64.76,120.95,89.66
GEN_0006,2020-01-01 19:00:00,2944.5,89.85,132.0,1,555.18,158.44,1.44,2958.2,10588.7,557.56,67.74,155.7,86.53
GEN_0013,2020-01-01 20:00:00,6208.5,92.64,177.3,3,538.64,162.72,2.81,2910.4,10767.8,599.05,74.94,152.99,84.34
GEN_0017,2020-01-01 21:00:00,2513.5,93.11,224.9,1,525.85,165.37,2.927,2880.5,10696.2,533.95,68.1,149.26,86.48
GEN_0010,2020-01-01 22:00:00,2670.5,55.02,83.6,1,560.04,154.49,1.022,3050.8,10929.2,500.27,64.8,93.8,87.23
GEN_0018,2020-01-01 23:00:00,5570.4,41.93,21.1,2,535.32,164.74,3.141,3002.9,11193.2,464.72,73.95,60.07,84.6
GEN_0006,2020-01-02 00:00:00,1506.2,73.02,363.9,0,534.81,160.85,0.904,2953.2,11018.5,495.29,72.48,124.61,90.84
GEN_0008,2020-01-02 01:00:00,4854.0,43.06,30.2,2,529.15,155.74,3.085,2960.2,11170.5,498.64,78.63,80.42,85.65
GEN_0012,2020-01-02 02:00:00,7027.3,68.92,230.7,3,547.42,174.79,8.008,2915.7,11018.6,548.07,70.03,100.94,85.03
GEN_0019,2020-01-02 03:00:00,907.0,56.44,359.7,0,499.42,169.26,2.411,2888.3,11238.0,459.71,67.17,94.97,88.94
GEN_0012,2020-01-02 04:00:00,865.3,85.73,129.1,0,502.51,171.64,3.138,3014.0,11221.6,525.09,62.43,150.2,93.88
GEN_0018,2020-01-02 05:00:00,4813.4,56.27,3.6,2,559.62,161.65,5.059,2906.9,10792.8,483.67,72.54,78.45,84.36
GEN_0009,2020-01-02 06:00:00,2871.7,89.67,6.5,1,528.76,158.35,1.557,3030.6,10991.1,562.22,64.8,144.93,88.66
GEN_0006,2020-01-02 07:00:00,7533.2,51.48,156.6,3,549.7,169.05,5.51,3007.5,10634.0,510.43,76.77,75.98,84.14
GEN_0011,2020-01-02 08:00:00,1465.2,87.6,172.2,0,533.35,158.2,0.44,3004.1,10792.7,545.75,55.7,157.28,85.71
GEN_0008,2020-01-02 09:00:00,1686.9,97.92,220.9,0,543.97,144.82,5.464,2866.6,10965.9,573.25,64.46,160.63,90.49
GEN_0008,2020-01-02 10:00:00,3523.0,57.96,83.9,1,571.92,152.96,3.134,3036.4,10912.5,479.86,67.86,111.2,91.06
GEN_0012,2020-01-02 11:00:00,3282.4,84.64,266.7,1,543.81,171.94,1.93,2956.6,11063.4,574.87,72.73,154.22,89.6
GEN_0011,2020-01-02 12:00:00,6016.5,64.82,180.6,3,553.16,158.1,3.61,3031.0,10899.8,487.26,81.11,107.49,88.99
GEN_0005,2020-01-02 13:00:00,5879.4,52.57,302.5,2,535.38,164.31,3.04,2929.3,10703.1,500.98,79.23,89.67,85.51
GEN_0018,2020-01-02 14:00:00,6380.1,69.24,217.1,3,542.77,165.68,4.503,3025.5,11145.0,490.68,78.2,106.47,83.82
GEN_0007,2020-01-02 15:00:00,454.9,79.15,338.3,0,522.47,177.83,0.814,3083.6,10754.0,507.53,70.04,145.9,88.9
GEN_0020,2020-01-02 16:00:00,2878.9,53.86,364.8,1,526.36,164.44,4.503,3036.1,10926.0,426.4,73.62,97.68,86.34
GEN_0010,2020-01-02 17:00:00,2767.3,66.65,18.6,1,534.81,170.7,4.941,2936.3,11202.8,513.93,82.61,115.94,88.08
GEN_0018,2020-01-02 18:00:00,5524.4,96.94,144.9,2,599.62,149.46,17.816,2944.4,10609.6,671.15,96.31,157.38,66.85
GEN_0008,2020-01-02 19:00:00,8353.4,77.93,270.2,4,555.07,175.59,3.939,2902.4,10847.6,564.29,75.43,128.79,82.49
GEN_0004,2020-01-02 20:00:00,3516.2,97.6,14.5,1,541.88,174.66,3.116,2985.6,10698.4,615.16,73.45,157.84,83.57
GEN_0010,2020-01-02 21:00:00,2769.5,62.33,86.5,1,515.61,173.81,2.593,2902.6,10929.9,475.44,66.87,91.77,88.45
GEN_0010,2020-01-02 22:00:00,1322.2,63.41,251.4,0,549.83,160.38,0.894,3036.4,10975.4,458.05,70.88,121.98,87.4
GEN_0013,2020-01-02 23:00:00,6829.1,59.72,344.4,3,561.96,155.88,3.937,2989.9,11036.2,494.14,68.97,89.52,87.59
GEN_0001,2020-01-03 00:00:00,562.6,93.8,72.8,0,536.75,159.76,1.076,3145.9,11009.0,564.84,63.35,159.81,90.39
GEN_0005,2020-01-03 01:00:00,1075.2,49.34,103.1,0,525.98,157.77,3.545,3077.9,10906.7,463.66,64.8,81.21,89.03
GEN_0005,2020-01-03 02:00:00,4067.1,66.59,356.5,2,552.59,156.21,5.786,2964.1,10687.5,556.34,72.66,108.68,85.15
GEN_0010,2020-01-03 03:00:00,7.5,94.84,61.2,0,541.4,155.12,0.279,3119.1,10954.2,515.72,65.78,173.02,90.52
GEN_0020,2020-01-03 04:00:00,1781.0,46.56,239.3,0,527.44,149.67,1.424,3054.8,11137.1,411.27,75.99,80.9,88.47
GEN_0012,2020-01-03 05:00:00,827.3,90.5,115.1,0,604.12,133.26,5.955,2990.2,10820.9,555.98,83.44,169.15,81.34
GEN_0012,2020-01-03 06:00:00,4598.5,40.87,275.1,2,538.25,166.73,10.057,2913.2,11015.7,459.98,68.06,60.02,87.19
GEN_0011,2020-01-03 07:00:00,7678.4,85.04,278.9,3,558.62,169.5,9.215,2874.9,10947.9,589.22,74.88,133.82,81.19
GEN_0002,2020-01-03 08:00:00,1384.1,75.81,239.8,0,523.66,146.85,2.552,2880.9,10775.7,503.35,68.93,127.9,90.34
GEN_0011,2020-01-03 09:00:00,2408.0,58.35,269.1,1,532.5,170.41,2.06,3145.2,10787.8,482.37,66.81,94.6,86.13
GEN_0013,2020-01-03 10:00:00,1762.5,59.54,169.5,0,511.35,145.51,3.677,2896.3,10859.6,517.81,66.14,102.49,87.71
GEN_0017,2020-01-03 11:00:00,6971.0,54.55,246.9,3,573.9,163.6,3.517,2968.0,10924.3,502.3,77.4,83.76,83.97
GEN_0014,2020-01-03 12:00:00,3927.8,40.53,261.6,1,519.31,159.74,3.574,2958.8,10982.8,427.86,72.48,67.91,90.48
GEN_0007,2020-01-03 13:00:00,8436.6,46.73,195.7,4,584.66,156.91,12.537,2950.2,10772.4,506.47,87.99,63.29,72.52
GEN_0011,2020-01-03 14:00:00,6501.5,92.97,229.2,3,537.38,173.57,3.318,2931.7,10515.8,554.95,75.95,156.23,83.14
GEN_0014,2020-01-03 15:00:00,1525.5,62.36,195.1,0,519.16,148.12,3.23,3011.5,11094.5,531.83,72.33,115.93,91.49
GEN_0002,2020-01-03 16:00:00,2114.3,89.39,340.5,1,543.16,180.17,2.352,3002.0,10757.5,603.25,63.98,145.93,90.45
GEN_0018,2020-01-03 17:00:00,3133.4,42.36,179.4,1,514.45,169.71,3.813,2952.4,11002.1,463.85,68.1,69.03,89.61
GEN_0003,2020-01-03 18:00:00,381.7,88.19,60.3,0,524.42,149.88,1.244,2993.4,10891.0,572.32,68.24,152.64,92.56
GEN_0011,2020-01-03 19:00:00,70.7,85.41,8.2,0,547.04,158.15,2.713,2931.0,10945.7,510.03,56.13,156.33,92.22
GEN_0012,2020-01-03 20:00:00,7742.1,78.13,0.8,3,552.1,164.71,4.036,3002.4,10829.7,599.88,85.58,122.7,86.53
GEN_0003,2020-01-03 21:00:00,6059.8,50.45,59.1,3,538.04,176.87,2.778,2878.0,10659.3,491.13,73.36,64.66,85.11
GEN_0020,2020-01-03 22:00:00,7027.8,85.32,120.4,3,576.37,175.68,4.961,2978.7,10819.9,568.44,75.4,129.02,82.02
GEN_0016,2020-01-03 23:00:00,8625.9,88.46,59.1,4,562.67,172.76,4.468,2974.1,10804.4,620.65,72.92,130.6,84.03
GEN_0016,2020-01-04 00:00:00,1437.3,92.55,361.3,0,519.55,165.93,1.153,3024.6,10704.6,536.87,72.14,162.2,90.95
GEN_0020,2020-01-04 01:00:00,6510.5,69.07,270.1,3,564.47,161.38,5.133,2910.8,10384.5,589.43,76.36,111.18,82.43
GEN_0006,2020-01-04 02:00:00,81.5,86.89,308.6,0,533.25,183.68,1.407,2950.4,11076.9,527.53,60.26,167.8,88.87
GEN_0001,2020-01-04 03:00:00,766.3,56.89,52.0,0,529.13,149.95,3.603,3010.7,10788.2,523.45,60.17,103.43,91.18
GEN_0012,2020-01-04 04:00:00,6050.8,78.82,313.6,3,544.7,166.29,3.046,2980.9,10902.3,507.38,66.07,128.03,84.84
GEN_0001,2020-01-04 05:00:00,220.0,91.03,16.3,0,503.77,159.6,0.809,2912.4,10825.7,534.05,61.44,161.01,89.44
GEN_0011,2020-01-04 06:00:00,8643.0,66.61,173.6,4,566.08,173.73,4.916,2935.4,10995.3,511.37,75.32,97.87,85.82
GEN_0010,2020-01-04 07:00:00,5675.9,41.1,82.0,2,575.61,164.14,3.417,2958.7,11048.7,453.79,71.44,61.9,84.61
GEN_0014,2020-01-04 08:00:00,4867.2,42.06,303.4,2,536.52,159.14,3.983,2977.1,10711.4,446.73,82.37,57.76,86.51
GEN_0018,2020-01-04 09:00:00,3629.4,93.76,303.3,1,538.37,158.7,3.376,2889.3,10606.0,569.57,72.45,171.97,90.47
GEN_0004,2020-01-04 10:00:00,1556.2,72.01,262.5,0,499.01,166.15,5.414,2912.8,11543.8,486.96,62.6,125.92,88.7
GEN_0006,2020-01-04 11:00:00,8141.7,61.18,210.0,4,572.93,148.45,3.726,2935.9,10809.0,540.05,79.19,87.7,86.59
GEN_0002,2020-01-04 12:00:00,1073.0,63.86,283.4,0,524.67,155.17,0.562,2959.5,11099.0,486.86,72.63,108.66,90.85
GEN_0019,2020-01-04 13:00:00,5702.3,45.08,234.7,2,562.03,158.94,2.993,3016.7,10629.3,440.55,79.08,76.19,83.59
GEN_0001,2020-01-04 14:00:00,2245.4,75.47,118.5,1,548.18,173.03,3.142,2979.9,11030.3,557.72,76.05,135.08,90.49
GEN_0011,2020-01-04 15:00:00,2783.6,65.45,92.9,1,591.49,152.92,11.748,2996.1,11123.8,528.96,85.47,111.59,71.03
GEN_0014,2020-01-04 16:00:00,6020.6,54.56,45.1,3,540.52,161.25,3.608,2957.3,10955.0,501.61,88.2,95.6,85.94
GEN_0013,2020-01-04 17:00:00,5604.3,55.03,282.5,2,542.47,170.42,5.106,2899.4,10783.8,554.73,85.41,81.37,90.58
GEN_0020,2020-01-04 18:00:00,8496.6,86.46,26.1,4,555.28,169.11,6.189,2956.6,10674.0,574.19,72.87,129.25,80.91
GEN_0001,2020-01-04 19:00:00,3065.8,86.02,248.8,1,546.49,167.86,2.8,2954.8,10741.2,652.02,73.21,152.03,87.98
GEN_0014,2020-01-04 20:00:00,5628.4,59.7,364.2,2,555.15,158.72,5.504,2922.8,10804.3,513.94,69.19,93.4,83.33
GEN_0019,2020-01-04 21:00:00,1398.8,83.88,25.8,0,540.47,160.29,3.648,2898.7,11276.1,557.29,64.7,142.8,90.02
GEN_0020,2020-01-04 22:00:00,5734.2,48.46,261.2,2,548.61,164.72,3.034,2983.1,10991.6,562.98,79.06,65.51,85.97
GEN_0005,2020-01-04 23:00:00,7413.2,46.83,109.1,3,546.6,182.39,3.955,2999.4,10795.4,546.81,80.69,63.44,84.7
GEN_0009,2020-01-05 00:00:00,6215.2,95.73,282.7,3,571.97,181.75,3.69,2960.3,10463.7,586.13,81.36,157.76,88.26
GEN_0008,2020-01-05 01:00:00,2566.8,77.53,364.7,1,521.76,166.08,2.32,2951.3,10880.0,524.44,75.4,140.56,86.32
GEN_0012,2020-01-05 02:00:00,6019.0,94.29,253.2,3,550.21,170.62,4.16,2931.0,10945.6,642.53,71.78,156.53,84.64
GEN_0004,2020-01-05 03:00:00,8314.9,93.34,59.9,4,550.09,167.44,4.514,2985.7,10740.9,670.12,72.28,151.15,81.04
GEN_0002,2020-01-05 04:00:00,6776.6,84.51,303.1,3,576.02,158.14,3.126,3014.9,10590.9,589.44,76.74,138.32,83.77
GEN_0003,2020-01-05 05:00:00,5504.4,48.74,234.8,2,523.98,152.76,5.309,2904.2,11104.4,523.96,79.28,70.0,86.79
GEN_0010,2020-01-05 06:00:00,8441.8,54.42,39.0,4,538.84,167.27,4.469,2958.2,10681.4,539.24,76.94,72.37,83.9
GEN_0007,2020-01-05 07:00:00,6356.0,75.3,361.3,3,563.53,158.89,3.49,2973.0,10985.1,539.66,75.4,125.25,83.41
GEN_0018,2020-01-05 08:00:00,4537.8,83.66,100.3,2,558.24,159.32,2.294,2927.0,11106.5,544.83,63.58,147.59,83.84
GEN_0014,2020-01-05 09:00:00,4712.4,47.07,265.0,2,554.63,174.19,2.349,2937.1,10880.9,477.09,71.69,79.22,87.38
GEN_0015,2020-01-05 10:00:00,4867.0,90.53,347.7,2,544.1,181.39,4.488,2908.4,10652.2,608.53,72.21,155.05,86.22
GEN_0019,2020-01-05 11:00:00,8622.6,70.23,355.4,4,570.88,154.46,6.205,3004.3,10808.3,535.97,75.53,102.38,83.31
GEN_0017,2020-01-05 12:00:00,8189.1,60.71,263.3,4,555.75,150.1,4.516,2951.5,10787.6,560.63,77.61,102.14,82.35
GEN_0017,2020-01-05 13:00:00,1837.2,60.16,42.9,0,510.34,158.65,3.89,2992.9,10855.4,533.68,60.8,105.22,89.94
GEN_0003,2020-01-05 14:00:00,8288.3,87.2,331.6,4,563.37,165.84,7.7,2921.6,10538.7,574.25,80.51,132.86,84.96
GEN_0003,2020-01-05 15:00:00,94.5,80.03,362.2,0,521.81,173.61,4.722,2956.1,10748.9,528.46,60.75,151.6,92.8
GEN_0003,2020-01-05 16:00:00,1424.6,55.69,79.6,0,526.64,155.19,4.437,2945.1,10574.3,508.43,79.81,99.06,87.98
GEN_0004,2020-01-05 17:00:00,975.8,45.39,196.0,0,529.28,162.44,1.426,3050.7,11002.5,489.23,56.46,73.81,93.15
GEN_0002,2020-01-05 18:00:00,3575.8,63.77,225.7,1,547.63,164.69,4.558,3072.7,10957.5,506.3,63.53,103.71,86.79
GEN_0011,2020-01-05 19:00:00,357.0,97.69,361.7,0,498.54,175.86,1.239,2979.6,10959.8,604.25,65.47,168.52,91.35
GEN_0020,2020-01-05 20:00:00,7394.0,82.22,233.8,3,580.31,173.13,11.839,2915.2,10768.3,553.85,88.75,135.38,71.03
GEN_0014,2020-01-05 21:00:00,2822.2,48.93,21.9,1,513.15,170.79,2.456,2959.3,10590.3,434.85,68.76,71.74,84.55
GEN_0016,2020-01-05 22:00:00,5307.7,83.23,282.4,2,576.32,175.57,2.993,2983.7,10922.3,565.73,75.38,137.55,86.64
GEN_0008,2020-01-05 23:00:00,7252.9,50.98,338.1,3,556.41,167.01,3.237,2931.5,10579.3,500.55,83.85,73.43,84.44
GEN_0011,2020-01-06 00:00:00,7106.7,70.25,105.2,3,554.97,170.11,3.745,2930.8,10398.2,528.0,76.75,113.06,86.31
GEN_0014,2020-01-06 01:00:00,656.4,59.92,107.6,0,519.69,168.6,3.728,3065.4,10923.9,476.33,64.77,101.21,91.26
GEN_0018,2020-01-06 02:00:00,1060.7,42.97,73.0,0,520.32,148.82,2.385,2987.4,10853.4,470.12,79.86,73.64,85.88
GEN_0003,2020-01-06 03:00:00,1921.0,68.44,15.9,0,524.79,158.6,1.102,2929.7,10841.7,513.42,75.18,111.2,90.91
GEN_0004,2020-01-06 04:00:00,5368.0,86.01,142.0,2,552.31,173.0,4.039,3016.6,10670.9,543.65,69.3,127.8,84.96
GEN_0017,2020-01-06 05:00:00,5001.7,47.6,91.0,2,535.68,161.31,3.682,2941.3,11226.3,532.13,70.08,81.0,85.94
GEN_0013,2020-01-06 06:00:00,8689.4,90.78,314.4,4,551.47,168.23,6.81,2828.8,10553.0,562.3,83.19,154.36,79.58
GEN_0005,2020-01-06 07:00:00,6673.0,80.61,34.9,3,588.06,165.4,5.068,2902.6,10652.1,570.52,76.76,122.35,85.55
GEN_0015,2020-01-06 08:00:00,8029.0,49.66,123.2,4,546.63,169.77,4.013,2915.6,10732.3,553.8,79.65,67.42,82.32
GEN_0006,2020-01-06 09:00:00,946.5,95.15,136.0,0,530.77,152.55,0.883,2922.3,11334.2,569.73,70.12,166.27,86.08
GEN_0005,2020-01-06 10:00:00,5024.5,43.4,38.7,2,533.27,157.32,2.643,2936.3,11079.3,531.89,71.48,58.98,85.58
GEN_0011,2020-01-06 11:00:00,6851.6,85.75,249.5,3,559.7,176.39,5.852,2935.5,10688.6,604.62,76.51,143.71,84.3
GEN_0009,2020-01-06 12:00:00,6115.3,89.35,19.2,3,567.84,170.73,3.87,2990.7,10884.7,594.56,71.89,156.49,87.53
GEN_0017,2020-01-06 13:00:00,4129.7,61.7,259.6,2,554.63,161.57,1.851,2916.1,10881.1,558.59,67.43,101.08,88.03
GEN_0010,2020-01-06 14:00:00,510.4,98.71,237.6,0,523.96,172.11,1.188,2997.3,10681.6,550.69,78.95,170.15,92.78
GEN_0015,2020-01-06 15:00:00,8467.5,96.11,241.2,4,557.45,181.02,4.314,2893.9,10490.8,570.92,81.39,151.58,85.42
GEN_0006,2020-01-06 16:00:00,3033.8,96.22,210.9,1,543.56,167.19,1.319,3035.1,11099.8,580.12,68.63,177.02,89.48
GEN_0007,2020-01-06 17:00:00,4672.6,95.71,77.3,2,576.35,178.58,3.364,2891.4,11172.1,556.39,70.24,155.99,85.27
GEN_0008,2020-01-06 18:00:00,2900.1,77.32,41.8,1,538.83,166.65,2.093,2885.2,10713.4,526.82,70.54,131.64,88.83
GEN_0006,2020-01-06 19:00:00,4138.9,78.75,86.2,2,546.6,168.99,2.851,2940.9,10696.6,549.47,74.68,134.95,87.32
GEN_0020,2020-01-06 20:00:00,7139.1,50.67,221.5,3,558.77,176.11,7.098,2985.4,10860.8,554.35,71.01,83.1,84.51
GEN_0009,2020-01-06 21:00:00,2262.2,51.49,315.7,1,535.67,157.3,1.93,3003.5,10894.0,467.28,69.26,75.99,83.95
GEN_0011,2020-01-06 22:00:00,3166.1,88.72,235.9,1,534.72,163.78,3.471,2966.6,10868.6,489.36,76.94,145.87,87.34
GEN_0019,2020-01-06 23:00:00,4535.7,90.81,253.2,2,560.63,172.08,5.232,2932.2,10714.6,554.68,76.98,150.07,89.33
GEN_0019,2020-01-07 00:00:00,5830.4,74.17,230.5,2,549.89,175.01,2.338,2968.6,11014.2,474.77,71.62,129.26,88.47
GEN_0013,2020-01-07 01:00:00,4826.2,91.44,4.3,2,553.5,176.09,3.97,2977.3,11059.6,509.69,75.59,154.35,83.64
GEN_0005,2020-01-07 02:00:00,8678.5,57.67,220.6,4,568.24,183.51,5.127,2763.7,10580.1,587.02,72.86,94.2,81.33
GEN_0005,2020-01-07 03:00:00,4833.4,64.24,308.6,2,542.85,157.13,2.899,2898.5,10810.9,537.73,78.15,105.86,85.24
GEN_0014,2020-01-07 04:00:00,7307.5,61.23,199.6,3,579.97,166.87,3.774,2937.1,10903.7,488.43,81.83,97.8,83.1
GEN_0005,2020-01-07 05:00:00,7290.4,50.15,54.4,3,535.39,162.26,4.737,3015.4,10651.9,521.61,83.11,76.7,81.62
GEN_0002,2020-01-07 06:00:00,6895.7,84.02,24.8,3,542.6,162.98,4.103,2942.9,10390.5,594.32,77.92,132.24,85.34
GEN_0008,2020-01-07 07:00:00,4029.5,85.63,122.1,2,553.45,169.24,4.6,3097.6,10931.2,572.73,78.8,147.3,86.71
GEN_0019,2020-01-07 08:00:00,2160.1,62.7,25.9,1,524.61,161.14,3.047,2949.7,10686.0,493.94,56.83,110.19,91.74
GEN_0007,2020-01-07 09:00:00,2418.5,90.62,294.0,1,515.91,175.23,4.617,3051.5,11110.5,536.47,65.1,157.17,93.65
GEN_0017,2020-01-07 10:00:00,1355.3,84.83,25.4,0,533.08,165.39,0.761,2941.1,10942.6,492.83,71.43,151.25,91.92
GEN_0007,2020-01-07 11:00:00,6476.0,41.16,223.4,3,538.2,168.64,5.593,2916.7,11166.5,480.9,80.0,64.37,86.92
GEN_0009,2020-01-07 12:00:00,6754.9,94.81,282.2,3,572.44,166.56,4.49,2874.2,10914.6,608.67,82.79,162.8,85.43
GEN_0018,2020-01-07 13:00:00,5802.3,77.48,291.4,2,584.58,158.61,5.197,2899.5,10485.9,588.3,74.11,119.9,83.61
GEN_0005,2020-01-07 14:00:00,6447.5,85.3,74.4,3,562.5,167.99,4.522,2891.9,10960.3,591.71,79.38,137.48,82.17
GEN_0003,2020-01-07 15:00:00,4440.7,57.26,171.0,2,567.36,154.8,3.69,2975.6,11015.3,537.63,75.85,93.62,83.98
GEN_0004,2020-01-07 16:00:00,6902.8,53.13,359.2,3,532.14,169.51,6.11,2916.8,10533.9,536.99,76.4,77.24,82.92
GEN_0012,2020-01-07 17:00:00,8285.8,98.78,126.4,4,640.36,156.14,16.273,2968.3,10792.2,644.14,99.78,151.53,61.65
GEN_0007,2020-01-07 18:00:00,272.2,77.96,260.1,0,533.05,164.96,2.848,2980.8,11104.1,525.22,58.21,142.43,92.29
GEN_0007,2020-01-07 19:00:00,4282.9,87.36,243.1,2,550.77,162.05,9.004,2926.8,10874.9,600.66,68.62,152.0,86.78
GEN_0010,2020-01-07 20:00:00,6659.4,41.76,271.4,3,562.87,153.1,3.385,2997.5,10841.2,483.88,70.18,56.82,86.92
GEN_0016,2020-01-07 21:00:00,772.7,57.51,333.0,0,534.29,163.05,4.195,2995.9,10961.6,489.87,56.37,101.92,86.84
GEN_0009,2020-01-07 22:00:00,6564.5,51.0,347.1,3,534.84,161.08,5.416,2939.0,11204.4,501.59,81.5,81.63,82.71
GEN_0019,2020-01-07 23:00:00,6491.9,43.37,87.9,3,536.6,151.96,3.09,3016.5,11035.3,488.85,72.89,64.83,86.5
GEN_0008,2020-01-08 00:00:00,3588.6,59.92,188.8,1,529.15,166.37,1.811,2938.6,10793.6,471.51,65.5,104.2,88.47
GEN_0016,2020-01-08 01:00:00,2343.7,53.45,54.9,1,504.31,164.98,1.063,2932.9,10908.8,471.76,71.57,83.15,90.15
GEN_0009,2020-01-08 02:00:00,6660.1,89.54,262.2,3,552.17,179.96,5.445,3002.2,10847.9,546.95,66.7,140.59,85.54
GEN_0011,2020-01-08 03:00:00,1489.5,43.55,206.3,0,525.24,147.66,0.925,2919.1,11137.9,465.23,77.07,77.35,90.35
GEN_0015,2020-01-08 04:00:00,2322.5,53.41,203.1,1,510.47,156.09,3.215,2981.7,10949.6,496.94,66.8,90.73,89.77
GEN_0009,2020-01-08 05:00:00,7231.7,89.33,103.7,3,553.68,172.92,6.499,2934.4,10765.0,548.45,79.28,151.26,84.28
GEN_0003,2020-01-08 06:00:00,7812.8,78.98,114.4,3,560.46,174.59,4.508,2960.6,10401.0,577.48,75.06,107.9,80.28
GEN_0001,2020-01-08 07:00:00,6839.9,93.66,75.5,3,573.2,174.61,5.273,2841.9,10749.6,533.03,75.33,155.73,85.38
GEN_0007,2020-01-08 08:00:00,6925.1,58.28,296.0,3,545.21,156.2,4.099,2917.8,10388.6,507.04,81.01,91.58,83.44
GEN_0001,2020-01-08 09:00:00,813.4,59.53,316.7,0,530.42,167.55,3.824,3095.7,10656.6,457.44,67.05,108.07,88.86
GEN_0001,2020-01-08 10:00:00,3891.3,55.33,290.3,1,554.2,167.75,2.476,3025.3,10975.1,495.73,71.96,95.72,91.71
GEN_0001,2020-01-08 11:00:00,4454.1,40.27,324.4,2,514.04,163.23,1.849,2977.5,10800.5,461.27,84.8,60.35,86.3
GEN_0016,2020-01-08 12:00:00,2394.2,75.72,101.2,1,535.8,163.4,1.412,2956.9,10796.1,556.7,66.88,134.65,87.06
GEN_0020,2020-01-08 13:00:00,1186.4,82.34,245.0,0,520.77,163.2,2.019,2934.5,10959.2,552.56,64.54,138.75,88.56
GEN_0011,2020-01-08 14:00:00,6767.1,63.98,112.1,3,530.77,168.06,4.853,2914.2,10567.4,511.95,88.86,106.33,83.46
GEN_0002,2020-01-08 15:00:00,1989.4,53.68,319.9,0,537.67,164.48,1.145,2945.3,10763.3,526.02,71.17,95.72,86.27
GEN_0012,2020-01-08 16:00:00,7667.6,49.05,48.8,3,581.91,162.01,5.742,2953.4,10185.0,540.01,72.35,69.31,84.87
GEN_0012,2020-01-08 17:00:00,2048.2,91.41,16.1,1,553.03,165.45,1.477,3015.7,11271.9,570.24,76.06,158.92,90.09
GEN_0018,2020-01-08 18:00:00,6111.2,81.61,2.8,3,562.56,167.8,3.952,2968.0,11027.0,627.99,75.23,129.55,85.77
GEN_0001,2020-01-08 19:00:00,8483.0,79.54,24.1,4,554.13,182.91,3.658,2898.9,10954.8,588.94,79.25,126.91,84.33
GEN_0001,2020-01-08 20:00:00,5410.4,99.63,331.0,2,543.25,161.61,4.401,2961.1,10408.9,591.31,81.98,169.28,83.05
