antecedents,consequents,support,confidence,lift,leverage,conviction
vibration_mms_Mid,efficiency_pct_Mid,0.14754545454545454,0.4427168576104746,1.3269442598679075,0.03635355371900825,1.1957362167934853
pressure_bar_High,efficiency_pct_Low,0.13818181818181818,0.4140561154998639,1.244091032640946,0.02711131404958679,1.1386445627826383
efficiency_pct_Low,pressure_bar_High,0.13818181818181818,0.41518710734771924,1.2440910326409458,0.02711131404958679,1.1392921319689187
temperature_C_Low,pressure_bar_Low,0.13754545454545455,0.41271140207310425,1.238021658795786,0.02644444628099174,1.1351086433306592
pressure_bar_Low,temperature_C_Low,0.13754545454545455,0.4125988546495773,1.2380216587957857,0.02644444628099174,1.135045918798008
pressure_bar_Low,vibration_mms_Low,0.13627272727272727,0.4087810199072811,1.226566071734886,0.025171719008264454,1.1277162864810466
vibration_mms_Low,pressure_bar_Low,0.13627272727272727,0.4088925259138025,1.226566071734886,0.025171719008264454,1.1277752233922056
temperature_C_High,pressure_bar_High,0.13563636363636364,0.4068721025361331,1.2191754638783614,0.024383826446280996,1.1233205015673982
pressure_bar_High,temperature_C_High,0.13563636363636364,0.4064287660038137,1.2191754638783614,0.024383826446280996,1.1230941215736996
efficiency_pct_High,pressure_bar_Low,0.13427272727272727,0.4025620059961842,1.2075762383305226,0.023080801652892557,1.115825190776377
pressure_bar_Low,efficiency_pct_High,0.13427272727272727,0.4027815653122443,1.2075762383305226,0.023080801652892557,1.1159309672063096
