CustomerID,TotalPrice_per_Customer
63-633-253-236,3476.92
63-637-565-241,2605.2
63-637-922-260,3269.09
63-639-936-309,3216.77
64-645-752-219,3714.09
64-648-837-363,3357.29
65-650-360-874,2611.18
66-666-371-719,2910.76
67-672-396-861,2845.78
67-673-600-763,3752.87
67-674-361-470,3267.91
67-675-614-317,3245.33
67-679-595-346,3563.09
67-679-638-670,3356.1
68-680-881-299,4484.37
68-682-750-412,4191.35
68-686-398-919,2766.78
68-686-564-754,3710.45
68-687-710-455,2795.56
69-694-979-487,3235.53
69-695-442-229,3987.05
69-699-363-626,3873.19
70-702-150-618,3651.3
70-702-640-943,3174.35
70-707-671-393,4380.18
70-708-187-206,3822.02
71-714-127-514,3041.92
71-719-449-668,4069.01
72-720-219-480,2646.21
72-722-268-559,4796.1
72-723-529-356,4091.62
72-723-708-919,3462.71
72-725-747-217,4770.75
72-726-458-713,4119.59
73-731-264-771,3217.51
73-731-720-477,3379.4900000000002
73-734-870-592,3921.2599999999998
73-736-696-602,4757.88
73-739-534-537,3016.57
75-759-152-529,3443.46
76-760-779-956,2799.15
76-763-200-509,5211.07
76-764-137-225,3819.23
76-768-727-334,2997.35
76-768-988-924,3714.27
76-769-216-127,3995.4
76-769-844-119,3361.68
77-770-725-587,3086.33
78-780-859-197,4085.9900000000002
78-785-698-276,3437.72
79-797-133-630,2582.45
79-797-806-665,3322.73
79-798-772-686,2661.79
80-802-735-706,3150.73
80-804-141-824,3389.27
80-805-440-615,2899.12
80-806-241-664,4165.39
80-809-504-992,3551.08
81-811-561-448,3521.91
82-822-153-148,4083.2200000000003
82-823-952-440,3566.2400000000002
82-824-613-287,3064.14
83-830-429-290,4557.75
84-842-520-680,3528.84
85-854-726-777,3446.7000000000003
86-865-588-545,3617.1
88-888-739-388,3983.42
89-896-800-708,3491.06
90-901-691-179,3648.05
90-904-777-147,4463.8
91-914-585-863,3719.83
92-923-342-427,3984.38
92-927-671-423,4577.35
92-927-832-666,4778.96
92-928-936-829,3688.62
93-934-246-303,3277.92
94-944-734-297,3382.68
94-944-846-532,3178.94
94-947-661-833,3409.33
95-950-701-784,3009.56
95-953-543-571,3190.4900000000002
95-957-504-995,4415.33
96-964-355-230,2167.62
96-965-654-717,3444.67
96-966-150-608,2848.57
98-986-122-862,3819.46
98-986-324-499,3266.14
99-995-981-283,2431.85
99-998-529-961,3820.67
