CustomerID,CustomerGroup,AgeGroup,Sum_Price,Unique_ProductNr
24-245-506-925,CC3,Adult,3881.78,62
24-246-799-939,CC1,Adult,2829.94,46
25-250-129-102,CC1,Adult,3811.68,52
25-254-567-213,CC3,Adolescent,3783.4900000000002,49
25-257-304-581,CC3,Adult,3776.48,52
25-258-445-502,CC1,Adult,3612.69,51
26-261-284-762,CC3,Adult,4360.18,62
26-262-275-824,CC2,Adult,3820.64,56
26-264-473-858,CC3,Adult,2750.0,40
26-267-183-233,CC3,Adult,3546.4900000000002,51
26-268-687-261,CC3,Adult,3433.91,49
27-271-983-899,CC1,Adult,4915.25,75
27-279-209-629,CC1,Adult,4539.32,68
28-280-348-613,CC3,Adult,2544.19,41
28-285-776-186,CC2,Adult,4543.95,64
28-285-871-592,CC1,Adult,3947.0,59
28-288-283-457,CC1,Adult,4070.59,61
29-295-408-168,CC1,Adult,3684.63,57
29-295-428-469,CC2,Adult,2636.4,40
29-298-881-174,CC1,Adult,3432.31,49
30-300-182-641,CC3,Adult,3445.69,51
30-302-750-929,CC1,Adult,3532.29,51
30-303-191-696,CC1,Adult,3864.4300000000003,57
30-303-374-202,CC3,Adult,3600.25,55
30-308-992-614,CC3,Adult,2633.82,38
31-310-934-498,CC2,Adult,4122.78,62
31-315-872-319,CC2,Adult,3942.4700000000003,53
31-317-245-923,CC1,Adult,3155.91,49
31-317-798-319,CC2,Adult,3646.46,54
31-319-647-748,CC1,Adult,4279.36,64
33-339-853-120,CC3,Adult,3268.36,44
34-341-371-168,CC3,Adult,3595.3,50
34-342-222-811,CC2,Adolescent,3207.11,49
36-363-680-521,CC3,Adult,3238.87,53
36-365-740-782,CC2,Adult,4699.33,67
36-367-285-368,CC3,Adult,4099.02,58
37-370-753-852,CC1,Adult,2621.18,42
37-374-201-848,CC3,Adult,3042.92,48
37-376-602-393,CC2,Adult,3583.44,56
37-376-722-579,CC3,Adult,3809.2599999999998,54
38-380-588-730,CC2,Adult,3014.09,51
38-386-394-826,CC3,Adult,4324.19,61
38-386-863-998,CC2,Adult,3869.24,56
39-393-309-807,CC1,Adult,3962.39,61
39-393-623-110,CC3,Adult,4041.2400000000002,56
39-396-176-959,CC1,Adult,3119.93,47
39-397-713-297,CC3,Adult,3180.11,49
39-398-376-883,CC1,Adult,3356.69,51
40-406-835-872,CC2,Adult,3326.29,51
41-413-557-431,CC1,Adult,4167.01,59
41-419-774-490,CC3,Adult,3104.92,48
42-427-940-755,CC2,Adult,3191.7200000000003,48
43-433-247-200,CC1,Adult,3429.36,44
43-435-460-564,CC3,Adult,2545.0099999999998,39
44-447-853-498,CC1,Adult,3598.5,50
45-450-887-511,CC2,Adult,3192.33,47
45-459-998-134,CC2,Adult,4037.38,61
46-462-627-514,CC2,Adult,3836.65,55
46-463-371-677,CC1,Adult,3522.2599999999998,54
46-464-454-788,CC3,Adult,3843.62,58
46-465-266-915,CC1,Adult,4205.58,62
47-470-786-782,CC2,Adult,2822.41,39
47-471-930-309,CC1,Adult,3092.77,43
47-477-443-848,CC3,Adult,3737.26,54
48-484-318-274,CC1,Adult,3494.66,54
48-489-304-248,CC2,Adult,3606.29,51
49-494-454-362,CC1,Older Adult,3992.06,54
49-497-610-746,CC2,Adult,3706.86,54
49-499-892-266,CC1,Adult,3282.55,45
50-502-587-866,CC3,Adult,3120.09,51
50-503-271-385,CC2,Adult,2819.58,42
51-519-824-667,CC3,Adult,3183.78,42
54-540-143-192,CC2,Adult,4241.42,58
54-546-472-736,CC3,Adult,768.08,12
54-546-589-923,CC2,Adult,4052.2400000000002,56
55-550-360-867,CC3,Adult,3401.46,54
55-552-520-440,CC1,Adult,3495.29,51
55-553-802-466,CC1,Adult,3963.21,59
56-560-312-201,CC1,Adult,4313.76,64
56-561-871-770,CC1,Adult,3478.51,49
56-568-138-743,CC3,Adult,4282.22,58
56-568-440-237,CC1,Adult,3361.7,50
57-572-939-747,CC3,Adult,4567.8,60
57-574-843-659,CC3,Adult,2778.78,42
57-575-796-482,CC3,Adult,3340.91,49
59-590-148-600,CC2,Adult,3170.55,45
59-591-693-148,CC1,Adult,3001.97,43
59-594-164-957,CC1,Adult,3236.96,44
59-599-495-603,CC1,Older Adult,3018.7200000000003,48
62-621-403-937,CC1,Adult,3886.25,55
63-633-253-236,CC1,Adult,3476.92,48
63-637-565-241,CC1,Adult,2605.2,40
63-637-922-260,CC2,Adult,3269.09,51
63-639-936-309,CC2,Adult,3216.77,43
64-645-752-219,CC3,Adult,3714.09,51
64-648-837-363,CC2,Adult,3357.29,51
65-650-360-874,CC3,Adolescent,2611.18,42
66-666-371-719,CC1,Adult,2910.76,44
67-672-396-861,CC3,Older Adult,2845.78,42
67-673-600-763,CC2,Adult,3752.87,53
67-674-361-470,CC2,Adult,3267.91,49
67-675-614-317,CC3,Adult,3245.33,47
67-679-595-346,CC3,Adult,3563.09,51
67-679-638-670,CC1,Adult,3356.1,50
68-680-881-299,CC1,Adult,4484.37,63
68-682-750-412,CC2,Adult,4191.35,65
68-686-398-919,CC1,Adult,2766.78,42
68-686-564-754,CC1,Adult,3710.45,55
68-687-710-455,CC1,Adult,2795.56,44
69-694-979-487,CC1,Adult,3235.53,47
69-695-442-229,CC1,Adult,3987.05,55
69-699-363-626,CC2,Adult,3873.19,61
70-702-150-618,CC1,Adult,3651.3,50
70-702-640-943,CC2,Adult,3174.35,45
70-707-671-393,CC1,Adult,4380.18,62
70-708-187-206,CC2,Adult,3822.02,58
71-714-127-514,CC3,Adult,3041.92,48
71-719-449-668,CC1,Adult,4069.01,59
72-720-219-480,CC2,Adult,2646.21,39
72-722-268-559,CC2,Adult,4796.1,70
72-723-529-356,CC1,Adult,4091.62,58
72-723-708-919,CC1,Adult,3462.71,49
72-725-747-217,CC3,Adult,4770.75,65
72-726-458-713,CC3,Adult,4119.59,61
73-731-264-771,CC1,Adult,3217.51,49
73-731-720-477,CC2,Adult,3379.4900000000002,51
73-734-870-592,CC2,Adult,3921.2599999999998,54
73-736-696-602,CC1,Adult,4757.88,71
73-739-534-537,CC2,Adult,3016.57,43
75-759-152-529,CC1,Adolescent,3443.46,54
76-760-779-956,CC3,Adult,2799.15,45
76-763-200-509,CC1,Adult,5211.07,73
76-764-137-225,CC3,Adult,3819.23,57
76-768-727-334,CC2,Adult,2997.35,45
76-768-988-924,CC1,Adult,3714.27,53
76-769-216-127,CC2,Adult,3995.4,60
76-769-844-119,CC3,Adult,3361.68,52
77-770-725-587,CC1,Adult,3086.33,47
78-780-859-197,CC3,Adult,4085.9900000000002,61
78-785-698-276,CC1,Adult,3437.72,48
79-797-133-630,CC2,Adult,2582.45,35
79-797-806-665,CC3,Adult,3322.73,47
79-798-772-686,CC2,Adolescent,2661.79,41
80-802-735-706,CC3,Adult,3150.73,47
80-804-141-824,CC2,Adult,3389.27,53
80-805-440-615,CC1,Adult,2899.12,48
80-806-241-664,CC2,Adult,4165.39,61
80-809-504-992,CC3,Adult,3551.08,52
81-811-561-448,CC2,Adult,3521.91,49
82-822-153-148,CC2,Adult,4083.2200000000003,58
82-823-952-440,CC1,Adult,3566.2400000000002,56
82-824-613-287,CC2,Adult,3064.14,46
83-830-429-290,CC2,Adolescent,4557.75,65
84-842-520-680,CC2,Adult,3528.84,56
85-854-726-777,CC2,Adult,3446.7000000000003,50
86-865-588-545,CC3,Adult,3617.1,50
88-888-739-388,CC3,Adult,3983.42,58
89-896-800-708,CC1,Adult,3491.06,54
90-901-691-179,CC2,Adolescent,3648.05,55
90-904-777-147,CC2,Adult,4463.8,60
91-914-585-863,CC1,Adult,3719.83,57
92-923-342-427,CC1,Adult,3984.38,62
92-927-671-423,CC1,Adolescent,4577.35,65
92-927-832-666,CC2,Adult,4778.96,64
92-928-936-829,CC3,Adult,3688.62,58
93-934-246-303,CC2,Adult,3277.92,48
94-944-734-297,CC2,Adult,3382.68,52
94-944-846-532,CC1,Adult,3178.94,46
94-947-661-833,CC2,Adult,3409.33,47
95-950-701-784,CC3,Adult,3009.56,44
95-953-543-571,CC1,Adolescent,3190.4900000000002,50
95-957-504-995,CC2,Adult,4415.33,67
96-964-355-230,CC2,Adult,2167.62,38
96-965-654-717,CC3,Adult,3444.67,53
96-966-150-608,CC3,Adult,2848.57,43
98-986-122-862,CC2,Adult,3819.46,54
98-986-324-499,CC2,Adult,3266.14,46
99-995-981-283,CC3,Adult,2431.85,35
99-998-529-961,CC1,Adult,3820.67,53
